record_id|employer|occupation
2033120251182203421|EAT N PARK HOSPITALITY|COO
2033120251182203673|FCB|EVP/CHIEF LENDING OFFICER
2033120251182203804|DICKIE, MCCAMEY & CHILCOTE|ATTORNEY
2033120251182204122|FCB|EVP/HUMAN RESOURCES MANAGER
2091920242041090024||NOT EMPLOYED
2110620241051721218|DICKIE MCCAMEY & CHILCOTE|ATTORNEY
2110620241051721222||
2110620241051721233|DICKIE MCCAMEY & CHILCOTE|ATTORNEY
4010220251125402728|CLEVELAND BROTHERS EQUIPMENT CO.|PARTS COUNTER ATTENDANT
4010220251125402790|RETIRED|RETIRED
4010220251125402869|RETIRED|RETIRED
4010220251125403878|RETIRED|RETIRED
4010220251125404378|RETIRED|RETIRED
4010220251125405258|VIATRIS|GLOBAL HEAD OF ORAL SOLID DOSE
4010220251125417250|FAEGRE DRINKER BIDDLE & REATH LLP|PARTNER
4010220251125417343|FAEGRE DRINKER BIDDLE & REATH LLP|PARTNER
4010220251125417443|NEW YORK LIFE INSURANCE COMPANY|CORPORATE VICE PRESIDENT
4010220251125420000|RETIRED|RETIRED
4010220251125424562|NOT EMPLOYED|NOT EMPLOYED
4010220251125424653|NOT EMPLOYED|NOT EMPLOYED
4010220251125424770|ICRC|HUMANITARIAN
4010220251125425366|EIDOLON COMMUNICATIONS|WRITER
4010220251125425601|PENN STATE UNIVERSITY|PROFESSOR
4010220251125425760|ROHE CREATIVE|INTERIOR DESIGN
4010220251125425934|SNYDER INSURANCE AGENCY|INSURANCE AGENT
4010220251125425954|NAYAMODE|BUSINESS
4010220251125433936|AMERIHEALTH CARITAS|ENTERPRISE OPT PROG DIR
4010220251125433939|AMERIHEALTH CARITAS|LTSS HOUSING INITIATIVES DIR
4010220251125433956|AMHSS|EXECUTIVE VICE PRESIDENT
4010220251125433963|AMERIHEALTH CARITAS|MGR PROVIDER ENROLLMENT SCVS
4010220251125433968|AMERIHEALTH CARITAS|GOVT & EXT AFF DIR STATE
4010220251125434077|AMHSS|MARKET DEVELOPMENT MANAGER
4010220251125434103|AMERIHEALTH CARITAS|POLITICAL ACTION COMM MGR
4010220251125434135|AMERIHEALTH CARITAS|DIR PUBLIC AFFAIRS & MARKETING
4010220251125434145|AMERIHEALTH CARITAS|VP APPLICATIONS
4010220251125434146|AMERIHEALTH CARITAS|GRAPHIC DESIGNER SR
4010220251125434266|SALTZ MONGELUZZI BENDESKY|ATTORNEY
